Job ID,Cluster,User/Group,State,Nodes,Cores per node,CPU Utilized,CPU Efficiency,Job Wall-clock time,Memory Utilized,Memory Efficiency,Cores,Array Job ID,WARNING
73131,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:38,54.29,00:00:35,131.63 MB,6.43,,73127_3,
73132,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:37,54.41,00:00:34,180.15 MB,8.80,,73127_4,
73133,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:39,54.17,00:00:36,183.08 MB,8.94,,73133_5,
73134,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:38,54.29,00:00:35,63.78 MB,3.11,,73133_0,
73135,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:39,52.70,00:00:37,183.11 MB,8.94,,73133_1,
73136,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:39,52.70,00:00:37,183.64 MB,8.97,,73133_2,
73137,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:39,52.70,00:00:37,182.91 MB,8.93,,73133_3,
73138,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:39,54.17,00:00:36,183.89 MB,8.98,,73133_4,
73139,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,20,00:00:10,10.00,00:00:05,1.37 MB,0.01,,,
73140,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:14:11,69.30,00:10:14,488.51 MB,23.85,,73140_5,
73141,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:42,55.26,00:00:38,242.19 MB,11.83,,73140_0,
73142,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:36,54.55,00:00:33,211.75 MB,10.34,,73140_1,
73143,ihealth-cluster,cgvallea/cgvallea,FAILED (exit code 1),1,2,00:00:36,54.55,00:00:33,212.92 MB,10.40,,73140_2,
